fcltNo,station_name,line,station_no,exit_no,detail_pos,start_floor_type,start_floor,end_floor_type,end_floor,status
1041999,동묘앞,1호선,127,내부,신설동 방면6-2,지하,B1,지상,4,M
1042000,동묘앞,1호선,127,내부,신설동 방면10-3,지하,B2,지하,B1,M
1042001,동묘앞,1호선,127,내부,신설동 방면4-3,지하,B2,지하,B1,M
1042002,동묘앞,1호선,127,내부,동대문(1) 방면7-3,지하,B2,지하,B1,M
1042003,동묘앞,1호선,127,내부,동대문(1) 방면1-2,지하,B2,지하,B1,M
1042004,동묘앞,1호선,127,"1,10","1,10번 출입구 사이",지하,B1,지상,1,M
1042005,동묘앞,1호선,127,3,3번 출입구,지하,B1,지상,1,M
1042124,동대문,1호선,128,6,6번 출입구,지하,B1,지상,1,M
1042125,동대문,1호선,128,내부,동묘앞 방면10-4,지하,B2,지하,B1,M
1042126,동대문,1호선,128,내부,종로5가 방면2-1,지하,B2,지하,B1,M
1042127,종로3가,1호선,130,내부,종로5가 방면5-1,지하,B2,지하,B1,M
1202779,종각,1호선,131,1,1번 출입구,지하,B1,지상,1,M
1804234,종로5가,1호선,129,내부,"8,9번 출입구 사이",지하,B1,지상,1,M
1790991,청량리,1호선,124,2,2번 출입구,지하,B1,지상,1,M
1042254,종각,1호선,131,3,3번 출입구,지하,B1,지상,1,M
1042255,종각,1호선,131,내부,종로3가 방면6-4,지하,B2,지하,B1,M
1042256,종각,1호선,131,내부,시청 방면4-4,지하,B2,지하,B1,M
1042258,종로5가,1호선,129,내부,동대문(1) 방면8-3,지하,B2,지하,B1,M
1042259,종로5가,1호선,129,내부,종로3가 방면3-2,지하,B2,지하,B1,M
1042260,제기동,1호선,125,1,1번 출입구,지하,B1,지상,1,M
1042261,제기동,1호선,125,내부,청량리 방면9-4,지하,B2,지하,B1,M
1042262,제기동,1호선,125,내부,신설동 방면2-1,지하,B2,지하,B1,M
1042263,청량리,1호선,124,6,6번 출입구,지하,B2,지상,1,S
1042279,시청,1호선,132,"1,2","1,2번 출입구 사이",지하,B1,지상,1,M
1137468,신설동,1호선,126,내부,제기동 방면3-4,지하,B2,지하,B1,M
1137469,신설동,1호선,126,내부,동묘앞 방면8-1,지하,B2,지하,B1,M
1137470,신설동,1호선,126,"4,5","4,5번 출입구 사이",지하,B1,지상,1,M
1137471,신설동,1호선,126,"2,3","2,3번 출입구 사이",지하,B1,지상,1,M
1140646,서울역,1호선,133,2,2번 출입구,지하,B1,지상,1,M
1042128,종로3가,1호선,130,내부,종각 방면6-4,지하,B2,지하,B1,M
1145284,서울역,1호선,133,내부,"시청 방면5-1,남영 방면6-4",지하,B2,지하,B1,M
1145587,종로3가,1호선,130,"12,13","12,13번 출입구 사이",지하,B1,지상,1,M
1145588,서울역,1호선,133,3,3번 출입구,지하,B1,지상,1,M
1042161,신설동,1호선,126,1,12번 출입구,지하,B1,지상,1,M
1042183,시청,1호선,132,내부,종각 방면3-2,지하,B2,지하,B1,M
1042184,시청,1호선,132,내부,서울역 방면8-3,지하,B2,지하,B1,M
1042188,서울역,1호선,133,4,4번 출입구,지하,B1,지상,1,M
1042206,서초,2호선,224,1,1번 출입구,지하,B1,지상,1,M
1138947,신도림,2호선,234,내부,"대림 방면4-4, 문래 방면7-4",지하,B2,지하,B1,M
1042207,낙성대,2호선,227,내부,사당 방면8-2,지하,B2,지하,B1,M
1042208,낙성대,2호선,227,내부,서울대입구 방면3-3,지하,B2,지하,B1,M
1042209,낙성대,2호선,227,6,6번 출입구,지하,B1,지상,1,M
1041816,선릉,2호선,220,1,1번 출입구,지하,B1,지상,1,M
1042210,봉천,2호선,229,내부,"서울대입구 방면6-3, 신림 방면5-1",지하,B2,지하,B1,M
1041817,선릉,2호선,220,5,5번 출입구,지하,B1,지상,1,M
1042211,봉천,2호선,229,4,4번 출입구,지하,B1,지상,1,M
1042212,신림,2호선,230,내부,"신대방 방면7-1, 봉천 방면4-4",지하,B2,지하,B1,M
1477422,아현,2호선,242,1,1번 출입구,지하,B1,지상,1,S
1042221,도림천,2호선,234-1,내부,신도림 방면4-4,지하,B3,지하,B2,M
1042222,도림천,2호선,234-1,"1,2",양천구청 방면2-4,지하,B3,지하,B1,M
1042223,잠실새내,2호선,217,7,7번 출입구,지하,B1,지상,1,M
1042224,잠실새내,2호선,217,내부,잠실방면7-3,지하,B2,지하,B1,M
1497817,신설동,2호선,211-4,내부,신설동 방면4-4,지하,B2,지하,B1,M
1042225,잠실새내,2호선,217,내부,종합운동장 방면4-1,지하,B2,지하,B1,M
1497818,종합운동장,2호선,218,내부,잠실새내 방면2-4,지하,B2,지하,B1,I
1042007,용두,2호선,211-3,3,3번 출입구,지하,B1,지상,1,M
1042228,종합운동장,2호선,218,내부,삼성 방면8-4,지하,B2,지하,B1,I
1497819,종합운동장,2호선,218,6,6번 출입구,지하,B1,지상,1,I
