facility_id,facility_name,line_name,station_code,station_name,station_number,data_date,direction,exit_number_or_inside,start_floor_type,start_floor,start_floor_detail,end_floor_type,end_floor,end_floor_detail,width_mm,operating_status
1041410,승강기)에스컬레이터-서울역(1) 4호선연결통로 1호기,1호선,0150,서울역,133,20210527,상행,내부,지하,B2,연결통로(4호선 방면),지하,B1,연결통로(4호선 방면),800,M
1813079,승강기)에스컬레이터-청량리(1) 5번출구 하행5,1호선,0158,청량리,124,20240828,하행,5,지상,1,5번 출입구,지하,B1,5번 출입구,1200,M
1813080,승강기)에스컬레이터-청량리(1) 5번출구 상행6,1호선,0158,청량리,124,20240828,상행,5,지하,B1,5번 출입구,지상,1,5번 출입구,1200,M
1127063,승강기)에스컬레이터-제기동 2번출구 하행1,1호선,0157,제기동,125,20210527,하행,2,지상,1,2번 출입구,지하,B1,2번 출입구,800,M
1127064,승강기)에스컬레이터-제기동 2번출구 상행2,1호선,0157,제기동,125,20210527,상행,2,지하,B1,2번 출입구,지상,1,2번 출입구,800,M
1041604,승강기)에스컬레이터-동묘앞(1) 1번출구 7호기,1호선,0159,동묘앞,127,20210527,하행,1,지상,1,1번 출입구,지하,B1,1번 출입구,1200,M
1041605,승강기)에스컬레이터-동묘앞(1) 1번출구 8호기,1호선,0159,동묘앞,127,20210527,상행,1,지하,B1,1번 출입구,지상,1,1번 출입구,1200,M
1041606,승강기)에스컬레이터-동묘앞(1) 2번출구 9호기,1호선,0159,동묘앞,127,20210527,하행,2,지상,1,2번 출입구,지하,B1,2번 출입구,1200,M
1041607,승강기)에스컬레이터-동묘앞(1) 2번출구 10호기,1호선,0159,동묘앞,127,20210527,상행,2,지하,B1,2번 출입구,지상,1,2번 출입구,1200,M
1041608,승강기)에스컬레이터-동묘앞(1) 청량리방향(9-1) 1호기,1호선,0159,동묘앞,127,20210527,하행,내부,지하,B2,신설동 방면9-1,지하,B3,신설동 방면9-1,1200,M
1041609,승강기)에스컬레이터-동묘앞(1) 청량리방향(9-1) 2호기,1호선,0159,동묘앞,127,20210527,상행,내부,지하,B3,신설동 방면9-1,지하,B2,신설동 방면9-1,1200,M
1041610,승강기)에스컬레이터-동묘앞(1) 청량리방향(6-2) 3호기,1호선,0159,동묘앞,127,20210527,하행,내부,지하,B1,신설동 방면6-2,지하,B2,신설동 방면6-2,1200,M
1041611,승강기)에스컬레이터-동묘앞(1) 시청방향(5-4) 4호기,1호선,0159,동묘앞,127,20210527,상행,내부,지하,B2,동대문 방면5-4,지하,B1,동대문 방면5-4,1200,M
1041612,승강기)에스컬레이터-동묘앞(1) 시청방향(2-4) 5호기,1호선,0159,동묘앞,127,20210527,하행,내부,지하,B1,동대문 방면2-4,지하,B2,동대문 방면2-4,1200,M
1041613,승강기)에스컬레이터-동묘앞(1) 시청방향(2-4) 6호기,1호선,0159,동묘앞,127,20210527,상행,내부,지하,B2,동대문 방면2-4,지하,B1,동대문 방면2-4,1200,M
1041614,승강기)에스컬레이터-동묘앞(1) 3번출구 11호기,1호선,0159,동묘앞,127,20210527,하행,3,지상,1,3번 출입구,지하,B1,3번 출입구,1200,M
1041615,승강기)에스컬레이터-동묘앞(1) 3번출구 12호기,1호선,0159,동묘앞,127,20210527,상행,3,지하,B1,3번 출입구,지상,1,3번 출입구,1200,M
1133896,승강기)에스컬레이터-시청(1) 5번출구 1호기,1호선,0151,시청,132,20210527,하행,5,지상,1,5번 출입구,지하,B1,5번 출입구,1200,M
1141455,승강기)에스컬레이터-시청(1) 5번출구 2호기,1호선,0151,시청,132,20210527,상행,5,지하,B1,5번 출입구,지상,1,5번 출입구,1200,M
1143611,승강기)에스컬레이터-시청(1) 1번출구 3호기,1호선,0151,시청,132,20210527,상행,1,지하,B1,1번 출입구,지상,1,1번 출입구,1200,S
1143969,승강기)에스컬레이터-서울(1)역 하행(2-3) 2호기,1호선,0150,서울역,133,20210527,하행,내부,지하,B1,"남영 방면2-3,시청 방면9-3",지하,B2,"남영 방면2-3,시청 방면9-3",1200,M
1143970,승강기)에스컬레이터-서울(1)역 상행(9-3) 3호기,1호선,0150,서울역,133,20210527,상행,내부,지하,B2,"시청 방면9-3,남영 방면2-3",지하,B1,"시청 방면9-3,남영 방면2-3",1200,M
1143982,승강기)에스컬레이터-종로3가(1) 1번출구 1호기,1호선,0153,종로3가,130,20210527,하행,1,지상,1,1번 출입구,지하,B1,1번 출입구,1200,M
1143983,승강기)에스컬레이터-종로3가(1) 14번출구 3호기,1호선,0153,종로3가,130,20210527,하행,14,지상,1,14번 출입구,지하,B1,14번 출입구,1200,M
1143986,승강기)에스컬레이터-동대문(1) 1번 출구 1호기,1호선,0155,동대문,128,20210527,상행,1,지하,B1,1번 출입구,지상,1,1번 출입구,1200,M
1143991,승강기)에스컬레이터-종로3가(1) 1번출구 2호기,1호선,0153,종로3가,130,20210527,상행,1,지하,B1,1번 출입구,지상,1,1번 출입구,1200,M
1143992,승강기)에스컬레이터-종로3가(1) 14번출구 4호기,1호선,0153,종로3가,130,20210527,상행,14,지하,B1,14번 출입구,지상,1,14번 출입구,1200,M
1041718,승강기)에스컬레이터-청량리 6번출구 하행1,1호선,0158,청량리,124,20210527,하행,6,지상,1,6번 출입구,지하,B1,6번 출입구,800,M
1041719,승강기)에스컬레이터-청량리 6번출구 상행2,1호선,0158,청량리,124,20210527,상행,6,지하,B1,6번 출입구,지상,1,6번 출입구,800,M
1153427,승강기)에스컬레이터-청량리 2번출구 하행3,1호선,0158,청량리,124,20210527,하행,2,지상,1,2번 출입구,지하,B1,2번 출입구,1200,M
1153428,승강기)에스컬레이터-청량리 2번출구 상행4,1호선,0158,청량리,124,20210527,상행,2,지하,B1,2번 출입구,지상,1,2번 출입구,1200,M
1547941,승강기)에스컬레이터-서울(1)역 4번출구 4호기,1호선,0150,서울역,133,20210527,하행,4,지하,B1,4번 출입구,지상,1,4번 출입구,1200,M
1547942,승강기)에스컬레이터-서울(1)역 4번출구 5호기,1호선,0150,서울역,133,20210527,상행,4,지상,1,4번 출입구,지하,B1,4번 출입구,1200,M
1202780,승강기)에스컬레이터-종각 1번출구 상행1,1호선,0152,종각,131,20210527,상행,1,지상,1,1번 출입구,지하,B1,1번 출입구,1200,M
1202781,승강기)에스컬레이터-종각 1번출구 상행2,1호선,0152,종각,131,20210527,상행,1,지하,B1,1번 출입구,지상,1,1번 출입구,1200,M
1203543,승강기)에스컬레이터-을지로입구 1번출구 상행6,2호선,0202,을지로입구,202,20210527,상행,1,지하,B1,1번 출입구,지상,1,1번 출입구,1200,M
1802035,승강기)에스컬레이터-영등포구청(2) 4번출입구 3호기,2호선,0236,영등포구청,236,20240108,하행,4,지상,1,4번 출입구,지하,B1,4번 출입구,800형,M
1802036,승강기)에스컬레이터-영등포구청(2) 4번출입구 4호기,2호선,0236,영등포구청,236,20240108,상행,4,지하,B1,4번 출입구,지상,1,4번 출입구,800형,M
1041456,승강기)에스컬레이터-역삼 외부 1호기,2호선,0221,역삼,221,20210527,하행,내부,지상,1,"대합실(1,2,5,6,7,8번 출입구 방면)",지하,B1,"대합실(1,2,5,6,7,8번 출입구 방면)",1200,M
1041457,승강기)에스컬레이터-역삼 외부 2호기,2호선,0221,역삼,221,20210527,상행,내부,지하,B1,"대합실(1,2,5,6,7,8번 출입구 방면)",지상,1,"대합실(1,2,5,6,7,8번 출입구 방면)",1200,M
1204327,승강기)에스컬레이터-신촌 6번출구3,2호선,0240,신촌,240,20210527,하행,6,지상,1,6번 출입구,지하,B1,6번 출입구,1200,M
1041458,승강기)에스컬레이터-역삼 외부 3호기,2호선,0221,역삼,221,20210527,하행,내부,지상,1,"대합실(1,2,5,6,7,8번 출입구 방면)",지하,B1,"대합실(1,2,5,6,7,8번 출입구 방면)",1200,M
1204328,승강기)에스컬레이터-신촌 6번출구4,2호선,0240,신촌,240,20210527,상행,6,지하,B1,6번 출입구,지상,1,6번 출입구,1200,M
1804539,승강기)에스컬레이터-잠실(2) 내부 7호기,2호선,0216,잠실,216,20240305,하행,내부,지하,B1,잠실새내 방면5-3,지하,B2,잠실새내 방면5-3,1200형,M
1041459,승강기)에스컬레이터-역삼 외부 4호기,2호선,0221,역삼,221,20210527,상행,내부,지하,B1,"대합실(1,2,5,6,7,8번 출입구 방면)",지상,1,"대합실(1,2,5,6,7,8번 출입구 방면)",1200,M
1204330,승강기)에스컬레이터-낙성대 5번출구5,2호선,0227,낙성대,227,20210527,하행,5,지상,1,5번 출입구,지하,B1,5번 출입구,800,M
1804540,승강기)에스컬레이터-잠실(2) 내부 8호기,2호선,0216,잠실,216,20240305,상행,내부,지하,B2,잠실새내 방면5-3,지하,B1,잠실새내 방면5-3,1200형,M
1041466,승강기)에스컬레이터-이대 내부 1호기,2호선,0241,이대,241,20210527,하행,내부,지하,B2,"아현 방면9-3, 신촌 방면2-2",지하,B3,"아현 방면9-3, 신촌 방면2-2",1200,M
1204331,승강기)에스컬레이터-낙성대 5번출구6,2호선,0227,낙성대,227,20210527,상행,5,지하,B1,5번 출입구,지상,1,5번 출입구,800,M
1804778,승강기)에스컬레이터-신림 8번출구 8호기,2호선,0230,신림,230,20240408,하행,8,지상,1,8번 출입구,지하,B1,8번 출입구,800형,M
1041467,승강기)에스컬레이터-이대 내부 2호기,2호선,0241,이대,241,20210527,상행,내부,지하,B3,"신촌 방면2-2, 아현 방면9-3",지하,B2,"신촌 방면2-2, 아현 방면9-3",1200,M
1204621,승강기)에스컬레이터-대림 1번출구 하행1,2호선,0233,대림,233,20210527,하행,1,지상,2,1번 출입구,지상,1,1번 출입구,1200,M
1804779,승강기)에스컬레이터-신림 8번출구 9호기,2호선,0230,신림,230,20240408,상행,8,지하,B1,8번 출입구,지상,1,8번 출입구,800형,M
1041468,승강기)에스컬레이터-이대 내부 3호기,2호선,0241,이대,241,20210527,하행,내부,지하,B2,"아현 방면2-2, 신촌 방면9-3",지하,B3,"아현 방면2-2, 신촌 방면9-3",1200,M
1204622,승강기)에스컬레이터-대림 1번출구 상행2,2호선,0233,대림,233,20210527,상행,1,지상,1,1번 출입구,지상,2,1번 출입구,1200,M
1041469,승강기)에스컬레이터-이대 내부 4호기,2호선,0241,이대,241,20210527,상행,내부,지하,B3,"신촌 방면9-3, 아현 방면2-2",지하,B2,"신촌 방면9-3, 아현 방면2-2",1200,M
1204623,승강기)에스컬레이터-합정(2) 내부 1호기,2호선,0238,합정,238,20210527,상행,내부,지하,B3,당산 방면4-1,지하,B2,당산 방면4-1,1200,M
1041474,승강기)에스컬레이터-충정로(2) 내부 3호기,2호선,0243,충정로,243,20210527,하행,내부,지하,B1,"1,2,5,6번 출입구",지하,B2,"1,2,5,6번 출입구",1200,M
1204624,승강기)에스컬레이터-합정(2) 내부 2호기,2호선,0238,합정,238,20210527,상행,내부,지하,B3,홍대입구 방면7-3,지하,B2,홍대입구 방면7-3,1200,M
1041475,승강기)에스컬레이터-충정로(2) 내부 4호기,2호선,0243,충정로,243,20210527,상행,내부,지하,B2,"1,2,5,6번 출입구",지하,B1,"1,2,5,6번 출입구",1200,M
1127051,승강기)에스컬레이터-홍대입구 2번출구 3호기,2호선,0239,홍대입구,239,20210527,하행,2,지상,1,2번 출입구,지하,B2,2번 출입구,1200,M
1127052,승강기)에스컬레이터-홍대입구 2번출구 4호기,2호선,0239,홍대입구,239,20210527,상행,2,지하,B2,2번 출입구,지상,1,2번 출입구,1200,M
1127073,승강기)에스컬레이터-당산 3번출구 상행1,2호선,0237,당산,237,20210527,상행,3,지하,B2,3번 출입구,지상,1,3번 출입구,1200,M
1813539,승강기)에스컬레터-사당(2) E/S 1200형 13호기,2호선,0226,사당,226,20241018,하행,8,지상,1,8번 출입구,지하,B1,8번 출입구,1200,M
